Clock frequency is approx2340
Memory mountain (MB/sec)
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	
16m	2424.14	2421.27	2424.51	2372.43	2290.01	2172.39	2048.19	1887.26	1860.02	1795.72	1683.02	1605.93	1554.05	1332.16	1452.82	1410.14	1317.93	1248.02	1216.81	1158.23	1103.4	985.702	1035.33	987.121	953.781	904.123	879.779	850.478	832.563	725.774	702.357	758.103	
8m	2426.59	2315.96	2425.13	2365.85	2296.02	2170.85	2058.46	1909.62	1868.47	1817.67	1756.85	1616.27	1576.09	1527.74	1494.15	1442.16	1402.82	1352.16	1263.51	1230.99	1171.15	1139.76	1101.91	1065.95	1005.29	976.478	947.862	925.801	891.269	898.067	856.34	715.109	
4m	2274.56	2352.55	2322.46	2399.14	2331.93	2299.94	2257.9	2109.3	2073.57	2053.08	2025.65	1944.97	1744.04	1779.13	1713.91	1789.7	1706.76	1650.24	1587.43	1640.94	1472.37	1561.26	1580.19	1312.37	1506.38	1315.65	1240.54	1407.33	1287.6	1373.58	1307.79	1238.82	
2m	2276.82	2269.81	2263.7	2251.93	2232.3	2206.95	2356.23	2312.49	2287.15	2271.93	2250.77	2219.14	2225.12	2219.64	2211.93	2203.14	2192.25	2187.43	2185.76	2183.3	2172.77	2177.9	2161.96	2140.08	2144.3	2126.31	2097.31	2067.39	2048.91	2038.58	2019.15	2022.64	
1024k	2275.54	2268.45	2261.56	1766.59	2420.6	2392.15	2355.98	2312.06	2292.33	2272.03	2254.37	2235.88	2227.89	2218.75	2210.51	2220.95	2201.14	2190.04	2183.67	2186.33	2179.38	2183.59	2169.98	2151.45	2100.07	2091.48	2105.96	2077.15	2063.7	2040.41	2030.65	1860.1	
512k	2290.83	2467.86	2456.7	2436.46	2420.47	2389.27	2357.44	2312.83	2292.23	2264.54	2254.39	2236.05	2223.5	2211.22	2217.55	2207.04	2195.15	2181.45	2190.59	2181.86	2179.05	2182.14	2170.51	2144.63	2140.46	2125.49	2092.38	2074.83	2060.92	2038.17	2026.32	2009.04	
256k	2466.47	2461.88	2451.26	2439.19	2423	2407.56	2376.75	2336.01	2318.51	2283.47	2284.12	2262.33	2249.09	2248.84	2247.04	2266.68	2259.13	2260.83	2260.85	2245.6	2262.78	2246.48	2266.04	2239.13	2246.58	2255.44	2253.2	2229.05	2234.21	2253.1	2247.76	2239.93	
128k	2467.49	2460	2450.79	2440	2426.55	2399.87	2374.49	2328.06	2306.42	2289.86	2278.8	2255.93	2250.7	2248.49	2247.41	2251.77	2263.38	2241.49	2249.03	2230.73	2236.44	2234.95	2231.52	2234.83	2249.87	2231.12	2228	2223.62	2225.73	2226.85	2221.27	2216.61	
64k	2465.07	2453.67	2452.02	2429.41	2412.71	2383.2	2356.11	2321.02	2295.24	2274.74	2251.19	2229.37	2226.91	2213.73	2218.63	2233.66	2215.84	2216.39	2212.35	2214.28	2225.18	2217.16	2215.57	2214.28	2208.55	2198.66	2230.63	2223.14	2231.35	2237.55	2233.3	2194.29	
32k	2464.55	2454.92	2435.67	2426.49	2420.52	2401.57	2401.04	2411.84	2385.21	2392.58	2363.81	2369.51	2350.26	2314.29	2342.14	2133.71	2148.25	2131.53	2128.84	2154.54	2128.51	2136.27	2115.66	2106.93	2074.02	2116.58	2104.09	2093.12	2111.8	2091.06	2226.26	2190.27	
16k	2464.23	2450.37	2448.03	2436.36	2399.32	2408.82	2378.63	2334.3	2362.06	2363.08	2318.2	2322.98	2305.24	2285.31	2287.63	2235.22	2237.76	2236.76	2204.46	2218.13	2193.75	2192.64	2180.73	2153.68	2155.7	2167.94	2097.69	2148.98	2098.19	2084.24	2069.55	2090.89	
8k	2453.51	2416.7	2403.39	2372.44	2334.3	2307.88	2277.7	2269.09	2202.07	2231.04	2198.18	2147.89	2145.85	2119.04	2118.81	2098.21	2053.91	2039.66	2013.05	1981.49	1979.61	1960.54	2082.6	2046	2079.29	2041.83	2008.56	1992.07	1822.87	1840.98	1790.61	1964.07	
4k	2422.2	2365.41	2294.61	2260.53	2225.85	2159.51	2135.57	2072.8	2024.14	1989.73	1930.11	1886.38	2025	1992.07	1820	1944.94	1722.7	1883.62	1863.33	1808.18	1796.46	1798.51	1757.47	1722.08	1733.73	1693	1674.6	1650.43	1625.32	1615.43	1536.72	1380.28	
2k	2379.5	2239.4	2177.19	2101.89	1998.04	2067.2	1992.07	1951.27	1863.79	1657.5	1783.77	1737.12	1677.53	1682.96	1567.68	1627.83	1318.31	1302.56	1490.36	1455.37	1401.11	1413.12	1352.34	1343.92	1334.79	1055.03	1253.57	1256.03	1204.41	1187.46	1188	1207.74	
1k	2231.06	2094.55	2061.86	1767.08	1808.18	1752.42	1642.5	1636.72	1302.56	1446.55	1431.71	1334.9	1285.35	1022.87	1187.46	1188.57	1096.88	1056.77	1042.18	1011.36	985.263	944.211	919.286	910	835.714	845	824.571	817.864	810.891	787.723	764.554	788.211	
